"Sensor_Name","Date","sum(Hourly_Counts)"
"Flagstaff Station",2011-04-15,24226
"Flagstaff Station",2011-04-16,1182
"Flagstaff Station",2011-04-17,966
"Flagstaff Station",2011-04-18,25216
"Flagstaff Station",2011-04-19,24954
"Flagstaff Station",2011-04-20,25185
"Flagstaff Station",2011-04-21,22132
"Flagstaff Station",2011-04-22,938
"Flagstaff Station",2011-04-23,1229
"Flagstaff Station",2011-04-24,1108
"Flagstaff Station",2011-04-25,905
"Flagstaff Station",2011-04-26,911
"Flagstaff Station",2011-04-27,24906
"Flagstaff Station",2011-04-28,24923
"Flagstaff Station",2011-04-29,23034
